Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Champions Club",2150,USD,2150,United States
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","FIFA Pavilion",1400,USD,1400,United States
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Pitchside Lounge",4750,USD,4750,United States
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","VIP ",4250,USD,4250,United States
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Trophy Lounge",2690,USD,2690,United States
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Champions Club",2250,USD,2250,United States
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","FIFA Pavilion",1575,USD,1575,United States
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Pitchside Lounge",4500,USD,4500,United States
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","VIP ",3400,USD,3400,United States
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Trophy Lounge",3200,USD,3200,United States
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Champions Club",2900,USD,2900,United States
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","FIFA Pavilion",2300,USD,2300,United States
18,"GROUP STAGE MATCHES","FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Pitchside Lounge",3150,USD,3150,United States
18,"GROUP STAGE MATCHES","FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","VIP ",2900,USD,2900,United States
18,"GROUP STAGE MATCHES","FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Trophy Lounge",2225,USD,2225,United States
18,"GROUP STAGE MATCHES","FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Champions Club",2000,USD,2000,United States
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Pitchside Lounge",3150,USD,3150,United States
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","VIP ",2740,USD,2740,United States
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Trophy Lounge",2540,USD,2540,United States
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Champions Club",2310,USD,2310,United States
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","FIFA Pavilion",2000,USD,2000,United States
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Pitchside Lounge",3200,USD,3200,United States
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","VIP ",2800,USD,2800,United States
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Trophy Lounge",2250,USD,2250,United States
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Champions Club",2000,USD,2000,United States
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Pitchside Lounge",5350,CAD,3905,Canada
