Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price USD
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","VIP ",2800
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Trophy Lounge",2350
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Champions Club",2000
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","FIFA Pavilion",1750
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Pitchside Lounge",3150
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","VIP ",2740
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Trophy Lounge",2540
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Champions Club",2310
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","FIFA Pavilion",2000
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Pitchside Lounge",4750
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","VIP ",4250
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Trophy Lounge",2690
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Champions Club",2250
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","FIFA Pavilion",1575
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Pitchside Lounge",4200
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","VIP ",3400
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Trophy Lounge",3200
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Champions Club",2900
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","FIFA Pavilion",2300
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Pitchside Lounge",3900
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","VIP ",3000
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Trophy Lounge",2400
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Champions Club",2200
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Pitchside Lounge",3500
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","VIP ",2950
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Trophy Lounge",2640
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Champions Club",2150
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Pitchside Lounge",3600
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","VIP ",3100
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Trophy Lounge",2625
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Champions Club",2300
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","FIFA Pavilion",1475
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Pitchside Lounge",6300
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","VIP ",4500
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Trophy Lounge",3700
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Champions Club",3400
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","FIFA Pavilion",2900
