Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price,Currency,Portal
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Trophy Lounge",4325,CAD,Canada
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Champions Club",3575,CAD,Canada
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","FIFA Pavilion",2575,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Pitchside Lounge",5350,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","VIP ",4550,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Lounge 1930 ",4550,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Trophy Lounge",3850,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Champions Club",3450,CAD,Canada
46,"Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","FIFA Pavilion",2600,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Pitchside Lounge",5350,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","VIP ",4550,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Lounge 1930 ",4550,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Trophy Lounge",3750,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Champions Club",3300,CAD,Canada
21,"Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","FIFA Pavilion",2500,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Pitchside Lounge",5500,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","VIP ",4750,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Lounge 1930 ",4750,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Trophy Lounge",3800,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Champions Club",3300,CAD,Canada
33,"Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","FIFA Pavilion",2500,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Pitchside Lounge",6800,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","VIP ",4850,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Lounge 1930 ",4850,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Trophy Lounge",4325,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Champions Club",3575,CAD,Canada
64,"New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","FIFA Pavilion",2575,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Pitchside Lounge",5600,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","VIP ",4800,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Lounge 1930 ",4800,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Trophy Lounge",3950,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Champions Club",3450,CAD,Canada
62,"Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","FIFA Pavilion",2600,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","Pitchside Lounge",6350,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","VIP ",4850,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","Lounge 1930 ",4850,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","Trophy Lounge",4250,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","Champions Club",3575,CAD,Canada
6,"Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT","FIFA Pavilion",2950,CAD,Canada
2,"Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Pitchside Lounge",103000,MXN,Mexico
2,"Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","VIP ",78650,MXN,Mexico
2,"Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Trophy Lounge",67000,MXN,Mexico
2,"Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Champions Club",51300,MXN,Mexico
2,"Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","FIFA Pavilion",34200,MXN,Mexico
36,"Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Pitchside Lounge",91000,MXN,Mexico
36,"Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","VIP ",81450,MXN,Mexico
36,"Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Trophy Lounge",69400,MXN,Mexico
36,"Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Champions Club",62350,MXN,Mexico
36,"Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","FIFA Pavilion",39700,MXN,Mexico
12,"European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Pitchside Lounge",87500,MXN,Mexico
12,"European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","VIP ",82950,MXN,Mexico
12,"European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Trophy Lounge",62880,MXN,Mexico
12,"European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Champions Club",61350,MXN,Mexico
12,"European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","FIFA Pavilion",35700,MXN,Mexico
24,"Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Pitchside Lounge",110000,MXN,Mexico
24,"Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","VIP ",85000,MXN,Mexico
24,"Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Trophy Lounge",75000,MXN,Mexico
24,"Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Champions Club",67500,MXN,Mexico
24,"Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","FIFA Pavilion",58370,MXN,Mexico
54,"South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Pitchside Lounge",87705,MXN,Mexico
54,"South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","VIP ",73450,MXN,Mexico
54,"South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Trophy Lounge",61350,MXN,Mexico
54,"South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Champions Club",55350,MXN,Mexico
54,"South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","FIFA Pavilion",34700,MXN,Mexico
66,"Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Pitchside Lounge",139000,MXN,Mexico
66,"Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","VIP ",127000,MXN,Mexico
66,"Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Trophy Lounge",115000,MXN,Mexico
66,"Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Champions Club",70840,MXN,Mexico
66,"Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","FIFA Pavilion",54060,MXN,Mexico
48,"Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Pitchside Lounge",96000,MXN,Mexico
48,"Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","VIP ",70840,MXN,Mexico
48,"Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Trophy Lounge",61990,MXN,Mexico
48,"Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Champions Club",56430,MXN,Mexico
48,"Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","FIFA Pavilion",36770,MXN,Mexico
